Country,"Average Life 
Expectancy",Happy Planet Index," GDP/capita
($PPP) ",Region
Mauritania,62.6,18.0, $1.283 ,Sub Saharan Africa
Mauritius,74.0,27.4, $9.114 ,Sub Saharan Africa
Mexico,76.4,40.7, $9.703 ,Americas
Mongolia,68.6,14.3, $4.377 ,Asia Pacific
Montenegro,75.8,25.1, $6.587 ,Post-communist
Morocco,73.4,32.7, $2.931 ,Middle East and North Africa
Mozambique,54.3,23.7, $565 ,Sub Saharan Africa
Myanmar,65.5,24.7, $1.421 ,Asia Pacific
Namibia,64.0,21.6, $5.680 ,Sub Saharan Africa
Nepal,68.8,30.5, $685 ,Asia Pacific
Netherlands,81.2,35.3, $49.475 ,Europe
New Zealand,81.4,31.3, $39.505 ,Asia Pacific
Nicaragua,74.3,38.7, $1.780 ,Americas
Niger,60.0,16.8, $394 ,Sub Saharan Africa
Nigeria,52.1,22.2, $2.740 ,Sub Saharan Africa
Norway,81.3,36.8, $101.564 ,Europe
Oman,76.3,21.1, $21.534 ,Middle East and North Africa
Pakistan,65.7,31.5, $1.266 ,Asia Pacific
Palestine,72.6,34.5, $2.783 ,Middle East and North Africa
Panama,77.2,39.5, $10.139 ,Americas
Paraguay,72.6,23.3, $3.858 ,Americas
Peru,74.1,34.6, $6.389 ,Americas
Philippines,67.9,35.0, $2.605 ,Asia Pacific
Poland,76.9,27.5, $13.142 ,Post-communist
Portugal,80.3,24.8, $20.577 ,Europe
Republic of Congo,61.0,18.8, $3.191 ,Sub Saharan Africa
Romania,74.3,28.8, $8.577 ,Post-communist
Russia,69.5,18.7, $14.079 ,Post-communist
Rwanda,63.1,19.6, $667 ,Sub Saharan Africa
Senegal,65.4,21.9, $1.019 ,Sub Saharan Africa
Serbia,74.5,29.0, $5.659 ,Post-communist
Sierra Leone,49.8,15.3, $619 ,Sub Saharan Africa
Slovakia,75.9,28.2, $17.207 ,Post-communist
Slovenia,80.0,24.6, $22.478 ,Post-communist
South Africa,56.3,15.9, $7.592 ,Sub Saharan Africa
South Korea,81.3,24.8, $24.454 ,Asia Pacific
Spain,82.2,36.0, $28.648 ,Europe
Sri Lanka,74.6,33.8, $3.351 ,Asia Pacific
Suriname,70.8,25.4, $9.422 ,Americas
Swaziland,48.9,15.5, $3.989 ,Sub Saharan Africa
Sweden,81.8,28.0, $57.134 ,Europe
Switzerland,82.6,34.3, $83.209 ,Europe
Syria,70.4,19.1, $2.080 ,Middle East and North Africa
Tajikistan,69.0,34.2, $962 ,Post-communist
Tanzania,63.5,22.1, $828 ,Sub Saharan Africa
Thailand,74.1,37.3, $5.918 ,Asia Pacific
Togo,58.6,13.2, $580 ,Sub Saharan Africa
Trinidad and Tobago,70.1,15.7, $18.322 ,Americas
Tunisia,74.6,26.2, $4.188 ,Middle East and North Africa
Turkey,74.7,26.4, $10.646 ,Middle East and North Africa
Turkmenistan,65.3,14.6, $6.798 ,Post-communist
Uganda,57.1,19.4, $656 ,Sub Saharan Africa
Ukraine,70.3,26.4, $3.855 ,Post-communist
United Kingdom,80.4,31.9, $41.295 ,Europe
United States of America,78.8,20.7, $51.457 ,Americas
Uruguay,76.9,36.1, $15.128 ,Americas
Uzbekistan,68.2,29.1, $1.719 ,Post-communist
Vanuatu,71.3,40.6, $3.158 ,Asia Pacific
Venezuela,73.9,33.6, $12.772 ,Americas
Vietnam,75.5,40.3, $1.755 ,Asia Pacific
Yemen,63.3,22.8, $1.289 ,Middle East and North Africa
Zambia,58.4,25.2, $1.687 ,Sub Saharan Africa
Zimbabwe,53.7,22.1, $851 ,Sub Saharan Africa
